City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
82,mogocha,53.7333,119.7667,-5.42,81,10,1.7,RU,1712701198
83,georgetown,5.4112,100.3354,28.3,92,20,1.03,MY,1712701198
84,rovaniemi,66.5,25.7167,4.67,81,0,3.6,FI,1712701198
85,nova sintra,14.8667,-24.7167,23.4,78,0,8.63,CV,1712700923
86,petropavlovsk-kamchatsky,53.0452,158.6483,2.47,82,100,5.0,RU,1712701199
87,siwa oasis,29.2041,25.5195,18.82,49,2,3.86,EG,1712701199
88,kourou,5.1552,-52.6478,27.03,87,78,2.49,GF,1712701199
89,fort bragg,35.139,-79.006,19.91,67,100,5.66,US,1712701199
90,chos malal,-37.3781,-70.2709,17.16,31,100,3.21,AR,1712701200
91,sitka,57.0531,-135.33,7.94,57,75,2.57,US,1712700976
92,pisco,-13.7,-76.2167,25.03,69,0,9.26,PE,1712701200
93,punta arenas,-53.15,-70.9167,7.06,61,40,8.75,CL,1712701170
94,utrik,11.2278,169.8474,26.84,85,99,8.9,MH,1712701200
95,katsuren-haebaru,26.3369,127.8719,20.05,72,0,5.14,JP,1712701200
96,afaahiti,-17.75,-149.2833,28.92,83,100,5.03,PF,1712701008
97,st. john's,47.5649,-52.7093,0.38,92,100,8.75,CA,1712701187
98,yellowknife,62.456,-114.3525,7.29,45,20,4.63,CA,1712701086
99,miyako,39.6367,141.9525,4.38,57,2,1.95,JP,1712701201
100,san sebastian de la gomera,28.0916,-17.1133,20.2,68,0,3.6,ES,1712701201
101,yeppoon,-23.1333,150.7333,19.88,55,0,5.94,AU,1712701202
102,olonkinbyen,70.9221,-8.7187,-2.8,86,29,6.32,SJ,1712701202
103,susuman,62.7833,148.1667,-16.37,98,94,0.9,RU,1712701038
104,itoman,26.1247,127.6694,20.05,73,20,5.14,JP,1712701203
105,bahir dar,11.5936,37.3908,24.45,25,81,1.09,ET,1712701204
106,kone,-21.0595,164.8658,29.12,70,64,2.46,NC,1712701204
107,vadso,70.0744,29.7487,0.09,74,75,5.66,NO,1712701204
108,san luis de la loma,17.2706,-100.8939,28.87,55,87,4.38,MX,1712701205
109,fort mcmurray,56.7268,-111.381,13.77,20,45,4.59,CA,1712700941
110,kismayo,-0.3582,42.5454,28.45,78,94,4.05,SO,1712701205
111,alofi,-19.0595,-169.9187,28.94,84,20,5.66,NU,1712701206
112,longyearbyen,78.2186,15.6401,-10.09,85,75,1.03,SJ,1712701086
113,tsiombe,-25.3,45.4833,23.24,96,98,1.4,MG,1712701082
114,huilong,31.8111,121.655,10.46,82,99,3.8,CN,1712701206
115,mbengwi,6.0167,10.0,19.71,88,61,1.1,CM,1712701207
116,nuuk,64.1835,-51.7216,-2.66,74,20,2.57,GL,1712700985
117,shengli,37.4564,118.4856,11.17,46,100,0.96,CN,1712701207
118,college,64.8569,-147.8028,3.18,47,75,1.54,US,1712701208
119,korla,41.7597,86.1469,13.5,32,70,0.47,CN,1712701208
120,praya,14.9215,-23.5087,22.3,73,20,6.69,CV,1712700920
121,anadyr,64.75,177.4833,-4.72,85,75,10.0,RU,1712700940
122,tak,16.5833,98.8333,24.88,65,40,0.89,TH,1712701208
123,tara,56.8944,74.371,-2.4,96,99,1.83,RU,1712701209
124,mariinsk,56.2139,87.7472,4.43,96,100,4.16,RU,1712701209
125,nora,59.5193,15.0398,10.69,100,100,0.89,SE,1712701209
126,sabang,5.8933,95.3214,29.33,73,94,5.6,ID,1712700991
127,san antonio de pale,-1.4014,5.6325,27.86,77,35,3.5,GQ,1712701209
128,colonia,50.9333,6.95,11.09,72,0,4.12,DE,1712701064
129,atafu village,-8.5421,-172.5159,30.27,75,78,7.24,TK,1712701209
130,konarka,19.9,86.1167,25.22,70,70,2.56,IN,1712700984
131,kegeyli shahar,42.7767,59.6078,8.05,57,0,3.05,UZ,1712701211
132,tolanaro,-25.0319,46.9987,23.35,97,66,3.79,MG,1712701211
133,geraldton,-28.7667,114.6,21.23,46,0,7.72,AU,1712701211
134,dobroye,52.8678,39.8109,17.09,72,52,2.84,RU,1712701211
135,north shore,-36.8,174.75,21.93,80,49,1.34,NZ,1712701178
136,kayangel,8.0823,134.7173,27.65,77,100,5.82,PW,1712701212
137,oranjemund,-28.55,16.4333,15.65,88,0,6.0,NA,1712700980
138,nemuro,43.3236,145.575,0.89,76,6,6.26,JP,1712701212
139,dawei,14.0833,98.2,25.55,79,80,1.08,MM,1712701212
140,thompson,55.7435,-97.8558,14.09,24,40,1.03,CA,1712701212
141,rockland,41.1668,-74.0496,24.9,37,92,0.45,US,1712701212
142,carnarvon,-24.8667,113.6333,25.03,41,0,6.45,AU,1712701025
143,aasiaat,68.7098,-52.8699,-9.61,86,100,2.27,GL,1712701045
144,ratia,29.6833,75.5833,23.49,16,12,3.02,IN,1712700960
145,nishinoomote,30.7333,131.0,16.38,63,11,9.9,JP,1712701213
146,cienfuegos,22.1461,-80.4356,29.08,61,1,4.63,CU,1712701213
147,kruisfontein,-34.0033,24.7314,16.6,84,63,7.24,ZA,1712701212
148,kassala,15.451,36.4,29.64,11,80,4.87,SD,1712701213
149,batticaloa,7.7102,81.6924,27.9,67,100,2.26,LK,1712701214
150,new norfolk,-42.7826,147.0587,13.73,76,89,1.12,AU,1712701061
151,bukittinggi,-0.3091,100.3706,19.63,99,100,0.46,ID,1712701214
152,bubaque,11.2833,-15.8333,24.36,71,46,5.55,GW,1712701214
153,ghormach,35.7306,63.7826,14.17,57,5,3.37,AF,1712701214
154,eaglehawk,-36.7333,144.25,9.5,77,0,2.63,AU,1712701215
155,alibag,18.6411,72.8792,27.04,75,0,3.11,IN,1712701215
156,kerikeri,-35.2268,173.9474,22.17,82,83,4.82,NZ,1712700993
157,metlili chaamba,32.2667,3.6333,22.52,38,75,8.23,DZ,1712701215
158,bada,51.392,109.8717,-1.33,86,8,1.59,RU,1712701215
159,fortuna,40.5982,-124.1573,15.92,77,100,6.17,US,1712701043
160,casper,42.8666,-106.3131,10.96,38,100,5.66,US,1712701083
161,canutama,-6.5339,-64.3831,25.05,96,100,0.21,BR,1712701216
162,macau,22.2006,113.5461,22.89,78,40,5.66,MO,1712701216
163,horta,38.5333,-28.6333,17.23,93,75,11.18,PT,1712701217
164,palencia,42.4167,-4.5,7.11,89,69,3.74,ES,1712701217
165,la passe,45.5549,-0.8967,11.1,78,6,5.46,FR,1712701217
166,harnosand,62.6323,17.9379,2.01,99,100,1.69,SE,1712700917
167,qui nhon,13.7667,109.2333,25.94,78,100,1.45,VN,1712701217
168,ubari,26.5921,12.7805,22.43,15,0,4.48,LY,1712701217
